iter	Logloss
0	0.6929416097
1	0.6927463137
2	0.6925255547
3	0.6922017557
4	0.6920441836
5	0.6919244796
6	0.6918006474
7	0.6915376792
8	0.6914266437
9	0.6913438256
10	0.691173656
11	0.6910668208
12	0.6909361404
13	0.6908395948
14	0.6907506153
15	0.6906342565
16	0.6905077214
17	0.6904204008
18	0.6902518968
19	0.6901502614
20	0.6900488252
21	0.6899714542
22	0.6895891735
23	0.6895446391
24	0.6894765032
25	0.6893939015
26	0.6893402796
27	0.6892454822
28	0.6891697287
29	0.6890873674
30	0.6890171159
31	0.6889128463
32	0.6888422789
33	0.6887670955
34	0.688680582
35	0.6886273379
36	0.6885496611
37	0.688467578
38	0.6883934422
39	0.688335304
40	0.6882684972
41	0.6882106887
42	0.6881488001
43	0.6880091283
44	0.6879503582
45	0.6879000058
46	0.6878171294
47	0.6877554846
48	0.6877156691
49	0.6876514245
50	0.6876027653
51	0.6875409145
52	0.6874754094
53	0.6874160039
54	0.6873721667
55	0.6873122666
56	0.6872513397
57	0.6871917109
58	0.6871331125
59	0.6870718798
60	0.6870090124
61	0.6869579526
62	0.6868932958
63	0.6868311634
64	0.6867723692
65	0.6867270861
66	0.6866502679
67	0.6865988441
68	0.6865341804
69	0.6864847691
70	0.6864286847
71	0.6863596628
72	0.6863215645
73	0.6862444579
74	0.6861948371
75	0.6861337762
76	0.6860841691
77	0.6860190316
78	0.6859647502
79	0.6859202605
80	0.6858686821
81	0.6858066767
82	0.6857536695
83	0.6856987631
84	0.6856429397
85	0.6855795571
86	0.6855450925
87	0.6854845777
88	0.6854358808
89	0.6853763619
90	0.6853178803
91	0.6852599756
92	0.685196435
93	0.6851406769
94	0.6850903177
95	0.6850360982
96	0.6849899942
97	0.68493754
98	0.684873395
99	0.684828397
100	0.6847599451
101	0.6847156683
102	0.6846544838
103	0.6846020982
104	0.6845189436
105	0.6843476783
106	0.6842839832
107	0.6842259858
108	0.6841631046
109	0.6840913111
110	0.684041103
111	0.6839768446
112	0.6839084546
113	0.6838618012
114	0.683690821
115	0.6836112828
116	0.6835581761
117	0.6834751107
118	0.6834094167
119	0.6833474285
120	0.6832912411
121	0.6831385939
122	0.6830790133
123	0.6829839857
124	0.682905416
125	0.6828402475
126	0.682769711
127	0.6827088905
128	0.6826346207
129	0.6825637751
130	0.6824985276
131	0.6824229596
132	0.6823709038
133	0.6823141806
134	0.6822483801
135	0.6821738081
136	0.6821180843
137	0.682027707
138	0.6819603748
139	0.6817896866
140	0.6817286394
141	0.6816660227
142	0.6815477509
143	0.6814682504
144	0.6812781439
145	0.6811536797
146	0.6810831123
147	0.6809684982
148	0.6808026902
149	0.680718756
150	0.6806607345
151	0.6805997663
152	0.6804264679
153	0.6803378078
154	0.680251466
155	0.6801360482
156	0.6800621974
157	0.6800090666
158	0.6798777508
159	0.6798218244
160	0.6797587646
161	0.6796358151
162	0.679551637
163	0.6795002097
164	0.679406422
165	0.6792631199
166	0.6792129874
167	0.6791507519
168	0.6790722921
169	0.6790136044
170	0.6789651376
171	0.6788957722
172	0.678807435
173	0.6786869411
174	0.6786318904
175	0.6785711352
176	0.6785132065
177	0.6784393557
178	0.6783826016
179	0.6783205241
180	0.6781846507
181	0.6781354421
182	0.6780880743
183	0.6780424992
184	0.6779628649
185	0.6778942516
186	0.6777834806
187	0.6776993334
188	0.6776320218
189	0.6775593765
190	0.6774901932
191	0.6774166343
192	0.6773754382
193	0.6773051043
194	0.677176093
195	0.6771039903
196	0.6770594044
197	0.676981556
198	0.6769123451
199	0.6767979955
200	0.6766992793
201	0.6766484874
202	0.6765781398
203	0.6765203175
204	0.6764579618
205	0.6763944934
206	0.6763552514
207	0.6763125751
208	0.6762360798
209	0.6761616108
210	0.6761233065
211	0.676081688
212	0.6760086718
213	0.6759535524
214	0.675877617
215	0.6757727085
216	0.6757210752
217	0.6756488042
218	0.6755752454
219	0.6755076694
220	0.6754332107
221	0.6753873609
222	0.6753126996
223	0.6752524595
224	0.6752038072
225	0.6751341808
226	0.6750653272
227	0.6750032531
228	0.6749640181
229	0.6749024523
230	0.6748317097
231	0.6747650918
232	0.6746882222
233	0.6746221092
234	0.6745476746
235	0.6744828495
236	0.6744103038
237	0.6743517879
238	0.6742867293
239	0.6742211761
240	0.6741471708
241	0.6740883663
242	0.6740511404
243	0.6739866141
244	0.6739222424
245	0.6738793634
246	0.6737446028
247	0.6736917468
248	0.67363796
249	0.6735667435
250	0.6735134478
251	0.6734445324
252	0.6733979545
253	0.6733265902
254	0.6732730748
255	0.6732077483
256	0.6731431602
257	0.6730818486
258	0.6730376439
259	0.6729658195
260	0.6728983671
261	0.6726880282
262	0.6726422849
263	0.6726033212
264	0.6725419031
265	0.672443836
266	0.6723528302
267	0.6723070251
268	0.6722492235
269	0.6721830899
270	0.6721190307
271	0.6720518943
272	0.6719827109
273	0.6719117829
274	0.6718510276
275	0.6717952592
276	0.6717326321
277	0.6716666806
278	0.671599527
279	0.6715391564
280	0.6714726416
281	0.671437102
282	0.6713702197
283	0.6713243905
284	0.6712152097
285	0.6711749099
286	0.6711074232
287	0.6710534956
288	0.6710052142
289	0.6709451596
290	0.670878978
291	0.6708214305
292	0.6707886213
293	0.670728917
294	0.6706861822
295	0.6706009806
296	0.6705489111
297	0.6705099164
298	0.6704417531
299	0.6703914969
300	0.6703425939
301	0.6702887316
302	0.6702235906
303	0.6701676985
304	0.6701349236
305	0.6700761191
306	0.67001376
307	0.6699601759
308	0.6698979095
309	0.6698326482
310	0.6697708627
311	0.6697357627
312	0.6696710166
313	0.669634275
314	0.6695695907
315	0.6695265709
316	0.6694775271
317	0.6694291015
318	0.6693671133
319	0.6693087828
320	0.6692469319
321	0.6691891887
322	0.6691114364
323	0.6690505403
324	0.6690021559
325	0.6689461471
326	0.6688806557
327	0.668826158
328	0.6687795046
329	0.6687280498
330	0.6686673186
331	0.6686290967
332	0.6685670364
333	0.6685198643
334	0.6684559151
335	0.6684005587
336	0.6683610489
337	0.6683002765
338	0.6682344452
339	0.6681794529
340	0.6681256627
341	0.6680600409
342	0.6680104647
343	0.6679463884
344	0.6678934739
345	0.6678374823
346	0.6677736463
347	0.6677147766
348	0.667621425
349	0.667559138
350	0.6674963771
351	0.6674357043
352	0.6673789398
353	0.667337833
354	0.6673108727
355	0.6672712598
356	0.6672309189
357	0.6671829741
358	0.6671184444
359	0.6670608797
360	0.6670057673
361	0.6669514963
362	0.6668940175
363	0.6668325066
364	0.6667710714
365	0.6667464705
366	0.6666871886
367	0.6666343463
368	0.6664643175
369	0.6664017076
370	0.6663421269
371	0.6662803688
372	0.6662488304
373	0.6661896034
374	0.666093233
375	0.6660305889
376	0.6659801713
377	0.6659372133
378	0.6658503597
379	0.6657986508
380	0.6657456539
381	0.6656825255
382	0.6656283403
383	0.6655757041
384	0.6655218315
385	0.6654858385
386	0.6654256156
387	0.6653727802
388	0.6653289293
389	0.6652842025
390	0.6652370477
391	0.6651855998
392	0.665148604
393	0.6651036712
394	0.6650534871
395	0.664997808
396	0.6649541357
397	0.6648967084
398	0.6648061903
399	0.664751957
400	0.6647099366
401	0.6646871079
402	0.6646400767
403	0.6645890959
404	0.6645179755
405	0.6644573027
406	0.6643994186
407	0.6643578069
408	0.6643006784
409	0.6642154116
410	0.664162978
411	0.664103909
412	0.6640577673
413	0.6640108495
414	0.6639641136
415	0.6639350994
416	0.6638909291
417	0.6638384577
418	0.6638008918
419	0.6637420976
420	0.6636952175
421	0.663636128
422	0.6635792296
423	0.6635201572
424	0.6634681495
425	0.6634100868
426	0.6633576635
427	0.6633024103
428	0.6632525079
429	0.6631925494
430	0.6631366917
431	0.6630982397
432	0.6630624356
433	0.663006468
434	0.6629556589
435	0.6628947285
436	0.6628382525
437	0.6627829306
438	0.662735968
439	0.6626789288
440	0.6626344288
441	0.6625844989
442	0.6625273807
443	0.6624760805
444	0.6624385249
445	0.6623944713
446	0.6623616243
447	0.6623271013
448	0.6622697359
449	0.6622142319
450	0.6621566913
451	0.6620987729
452	0.6620401951
453	0.6619860442
454	0.6619273428
455	0.6618707054
456	0.6618137075
457	0.6617619092
458	0.6617036783
459	0.6616525017
460	0.661596012
461	0.6615445847
462	0.6614873876
463	0.661443492
464	0.6613951866
465	0.6613594272
466	0.6613248836
467	0.6612686515
468	0.6612173306
469	0.6611587975
470	0.6611034377
471	0.6610470099
472	0.660989799
473	0.6609317638
474	0.6608771219
475	0.6608193065
476	0.6607365674
477	0.6606821212
478	0.660625714
479	0.6605726862
480	0.6605215371
481	0.6604690417
482	0.6604143928
483	0.6603643736
484	0.6603070769
485	0.6602649157
486	0.6602212983
487	0.660164132
488	0.6601076973
489	0.6600536839
490	0.6599970465
491	0.6599541091
