iter	Passed	Remaining
0	79	39903
1	145	36291
2	209	34694
3	271	33698
4	337	33423
5	403	33183
6	471	33219
7	540	33219
8	604	33001
9	664	32583
10	729	32421
11	789	32122
12	852	31932
13	913	31696
14	973	31480
15	1033	31255
16	1091	31010
17	1150	30817
18	1212	30701
19	1278	30673
20	1339	30551
21	1402	30465
22	1460	30292
23	1517	30098
24	1575	29940
25	1635	29810
26	1695	29696
27	1755	29594
28	1813	29459
29	1872	29335
30	1931	29215
31	1989	29096
32	2047	28979
33	2106	28875
34	2165	28775
35	2223	28659
36	2288	28632
37	2349	28566
38	2408	28469
39	2465	28352
40	2525	28268
41	2582	28160
42	2639	28054
43	2700	27985
44	2762	27928
45	2820	27835
46	2878	27747
47	2936	27652
48	2994	27564
49	3053	27479
50	3111	27396
51	3170	27314
52	3227	27220
53	3284	27129
54	3341	27033
55	3397	26940
56	3454	26849
57	3511	26760
58	3568	26674
59	3627	26600
60	3686	26528
61	3743	26447
62	3801	26370
63	3859	26292
64	3916	26212
65	3972	26123
66	4030	26047
67	4088	25973
68	4149	25918
69	4205	25834
70	4261	25748
71	4319	25679
72	4378	25608
73	4436	25538
74	4492	25457
75	4550	25385
76	4612	25341
77	4669	25261
78	4726	25186
79	4783	25114
80	4840	25037
81	4899	24975
82	4957	24904
83	5013	24829
84	5071	24762
85	5129	24690
86	5185	24616
87	5242	24543
88	5298	24468
89	5355	24397
90	5411	24322
91	5477	24289
92	5540	24245
93	5605	24212
94	5671	24179
95	5735	24135
96	5793	24069
97	5852	24005
98	5910	23941
99	5969	23876
100	6027	23812
101	6085	23743
102	6142	23675
103	6199	23607
104	6255	23534
105	6314	23470
106	6373	23407
107	6432	23347
108	6489	23280
109	6549	23221
110	6606	23151
111	6663	23085
112	6721	23020
113	6780	22958
114	6843	22911
115	6900	22844
116	6959	22780
117	7016	22714
118	7073	22646
119	7132	22586
120	7191	22526
121	7250	22463
122	7306	22396
123	7368	22342
124	7429	22287
125	7486	22222
126	7547	22167
127	7607	22108
128	7664	22044
129	7723	21983
130	7784	21928
131	7843	21865
132	7901	21804
133	7961	21744
134	8017	21677
135	8074	21610
136	8133	21551
137	8198	21506
138	8256	21442
139	8316	21384
140	8375	21325
141	8435	21267
142	8493	21202
143	8552	21144
144	8612	21084
145	8671	21025
146	8731	20967
147	8791	20908
148	8849	20847
149	8906	20782
150	8966	20722
151	9027	20667
152	9087	20609
153	9146	20549
154	9202	20482
155	9262	20423
156	9320	20362
157	9378	20300
158	9436	20239
159	9496	20180
160	9559	20129
161	9619	20070
162	9682	20017
163	9741	19958
164	9800	19898
165	9859	19838
166	9920	19781
167	9979	19721
168	10040	19665
169	10100	19606
170	10161	19550
171	10218	19486
172	10276	19424
173	10334	19362
174	10394	19304
175	10452	19241
176	10512	19183
177	10568	19118
178	10632	19067
179	10697	19018
180	10766	18975
181	10831	18924
182	10898	18878
183	10960	18822
184	11021	18765
185	11079	18704
186	11139	18645
187	11196	18581
188	11254	18518
189	11310	18454
190	11369	18393
191	11425	18329
192	11485	18269
193	11542	18205
194	11601	18145
195	11658	18081
196	11719	18024
197	11776	17962
198	11833	17898
199	11892	17839
200	11952	17780
201	12010	17718
202	12067	17654
203	12125	17593
204	12182	17531
205	12245	17476
206	12306	17419
207	12367	17361
208	12423	17297
209	12479	17233
210	12537	17171
211	12596	17111
212	12655	17052
213	12719	16999
214	12778	16938
215	12838	16880
216	12897	16820
217	12955	16758
218	13011	16694
219	13070	16634
220	13126	16571
221	13186	16512
222	13242	16449
223	13300	16387
224	13361	16331
225	13418	16268
226	13474	16205
227	13531	16142
228	13587	16079
229	13652	16026
230	13715	15971
231	13780	15919
232	13843	15863
233	13906	15807
234	13970	15753
235	14032	15697
236	14096	15642
237	14158	15586
238	14223	15532
239	14285	15475
240	14349	15421
241	14412	15365
242	14480	15314
243	14543	15259
244	14610	15207
245	14682	15160
246	14748	15107
247	14808	15047
248	14866	14985
249	14925	14925
250	14986	14867
251	15043	14804
252	15103	14745
253	15160	14683
254	15221	14624
255	15278	14562
256	15334	14499
257	15391	14436
258	15451	14377
259	15508	14315
260	15568	14255
261	15625	14194
262	15682	14132
263	15747	14077
264	15810	14020
265	15875	13965
266	15942	13912
267	16008	13857
268	16066	13797
269	16124	13735
270	16182	13674
271	16240	13613
272	16297	13551
273	16361	13495
274	16417	13432
275	16473	13370
276	16532	13309
277	16589	13247
278	16646	13185
279	16702	13123
280	16758	13061
281	16818	13001
282	16874	12939
283	16936	12881
284	16994	12820
285	17054	12761
286	17110	12698
287	17166	12636
288	17226	12577
289	17283	12515
290	17339	12453
291	17394	12390
292	17453	12330
293	17509	12268
294	17569	12209
295	17627	12148
296	17688	12089
297	17746	12029
298	17803	11967
299	17860	11907
300	17917	11845
301	17977	11786
302	18033	11725
303	18090	11663
304	18148	11603
305	18205	11542
306	18262	11480
307	18318	11419
308	18374	11357
309	18431	11296
310	18487	11235
311	18545	11175
312	18602	11113
313	18661	11054
314	18718	10993
315	18775	10932
316	18835	10873
317	18895	10814
318	18953	10754
319	19010	10693
320	19074	10636
321	19131	10575
322	19188	10515
323	19245	10454
324	19302	10393
325	19358	10332
326	19414	10271
327	19470	10210
328	19529	10150
329	19589	10091
330	19644	10030
331	19704	9970
332	19763	9911
333	19822	9852
334	19879	9791
335	19935	9730
336	19995	9671
337	20051	9610
338	20107	9549
339	20163	9488
340	20223	9429
341	20282	9370
342	20341	9310
343	20400	9251
344	20456	9190
345	20512	9129
346	20568	9069
347	20625	9008
348	20683	8949
349	20740	8888
350	20796	8828
351	20856	8769
352	20919	8711
353	20982	8653
354	21049	8597
355	21112	8539
356	21175	8482
357	21233	8422
358	21292	8362
359	21349	8302
360	21406	8242
361	21463	8182
362	21520	8121
363	21576	8061
364	21632	8001
365	21691	7941
366	21752	7883
367	21809	7823
368	21869	7763
369	21925	7703
370	21981	7643
371	22037	7582
372	22097	7523
373	22153	7463
374	22211	7403
375	22267	7343
376	22326	7284
377	22384	7224
378	22442	7164
379	22498	7104
380	22554	7044
381	22610	6984
382	22666	6924
383	22726	6865
384	22783	6805
385	22843	6746
386	22900	6686
387	22957	6626
388	23015	6567
389	23072	6507
390	23132	6448
391	23188	6388
392	23246	6329
393	23302	6269
394	23363	6210
395	23419	6150
396	23476	6090
397	23532	6030
398	23591	5971
399	23647	5911
400	23703	5851
401	23762	5792
402	23820	5733
403	23878	5674
404	23938	5615
405	23994	5555
406	24050	5495
407	24107	5436
408	24163	5376
409	24221	5316
410	24277	5257
411	24336	5198
412	24392	5138
413	24450	5079
414	24511	5020
415	24569	4961
416	24625	4901
417	24682	4842
418	24739	4782
419	24796	4723
420	24854	4663
421	24911	4604
422	24968	4545
423	25026	4485
424	25083	4426
425	25139	4366
426	25195	4307
427	25251	4247
428	25306	4188
429	25363	4128
430	25419	4069
431	25478	4010
432	25538	3951
433	25594	3892
434	25650	3832
435	25707	3773
436	25763	3714
437	25823	3655
438	25879	3595
439	25935	3536
440	26000	3478
441	26064	3420
442	26128	3361
443	26192	3303
444	26260	3245
445	26321	3186
446	26381	3127
447	26438	3068
448	26494	3009
449	26552	2950
450	26609	2891
451	26666	2831
452	26723	2772
453	26780	2713
454	26837	2654
455	26893	2594
456	26951	2535
457	27008	2476
458	27066	2417
459	27126	2358
460	27187	2299
461	27243	2240
462	27300	2181
463	27357	2122
464	27413	2063
465	27469	2004
466	27526	1945
467	27583	1886
468	27640	1826
469	27696	1767
470	27753	1708
471	27810	1649
472	27867	1590
473	27923	1531
474	27980	1472
475	28036	1413
476	28096	1354
477	28153	1295
478	28209	1236
479	28265	1177
480	28322	1118
481	28379	1059
482	28435	1000
483	28492	941
484	28551	883
485	28610	824
486	28671	765
487	28728	706
488	28785	647
489	28841	588
490	28897	529
491	28956	470
492	29015	411
493	29072	353
494	29128	294
495	29185	235
496	29244	176
497	29300	117
498	29356	58
499	29414	0
